pool_index,token_id,literal,raw_vocab,category,component_ids,pool_source
1106,28799,resides,resides,OK,"(28799,)",random
1107,9154,oasa,oasa,OK,"(9154,)",random
1108,20501, Brussels,▁Brussels,OK,"(20501,)",random
1109,21957, Powder,▁Powder,OK,"(21957,)",random
1110,4283, appeared,▁appeared,OK,"(4283,)",random
1111,9120,5),5),OK,"(9120,)",random
1112,13492,glu,glu,OK,"(13492,)",random
1113,5255,ogen,ogen,OK,"(5255,)",random
1114,21267, sensory,▁sensory,OK,"(21267,)",random
1115,23878, Riv,▁Riv,OK,"(23878,)",random
1116,1769, Business,▁Business,OK,"(1769,)",random
1117,20035, Snap,▁Snap,OK,"(20035,)",random
1118,8802, sac,▁sac,OK,"(8802,)",random
1119,16401,anța,anța,OK,"(16401,)",random
1120,13227,UNE,UNE,OK,"(13227,)",random
1121,1615, Why,▁Why,OK,"(1615,)",random
1122,5714, prison,▁prison,OK,"(5714,)",random
1123,9820, voiture,▁voiture,OK,"(9820,)",random
1124,23248, undermine,▁undermine,OK,"(23248,)",random
1125,17418, coordinator,▁coordinator,OK,"(17418,)",random
1126,17160,Fel,Fel,OK,"(17160,)",random
1127,5260, gar,▁gar,OK,"(5260,)",random
1128,29569, pierderi,▁pierderi,OK,"(29569,)",random
1129,18784, trek,▁trek,OK,"(18784,)",random
1130,24089, aventur,▁aventur,OK,"(24089,)",random
1131,25023,Liviu,Liviu,OK,"(25023,)",random
1132,25051, Olivia,▁Olivia,OK,"(25051,)",random
1133,11563, Bab,▁Bab,OK,"(11563,)",random
1134,9068, cluster,▁cluster,OK,"(9068,)",random
1135,5277,sent,sent,OK,"(5277,)",random
1136,29981, Therapist,▁Therapist,OK,"(29981,)",random
1137,8603,dian,dian,OK,"(8603,)",random
1138,15958,éna,éna,OK,"(15958,)",random
1139,19185, satisfai,▁satisfai,OK,"(19185,)",random
1140,1331, International,▁International,OK,"(1331,)",random
1141,4794, Mike,▁Mike,OK,"(4794,)",random
1142,23437, erlaubt,▁erlaubt,OK,"(23437,)",random
1143,23578,iola,iola,OK,"(23578,)",random
1144,21199,recevoir,recevoir,OK,"(21199,)",random
1145,22274,accumul,accumul,OK,"(22274,)",random
1146,25368, Guvernul,▁Guvernul,OK,"(25368,)",random
1147,31363, dissemination,▁dissemination,OK,"(31363,)",random
1148,3236, practical,▁practical,OK,"(3236,)",random
1149,8673,rique,rique,OK,"(8673,)",random
1150,30956, Versailles,▁Versailles,OK,"(30956,)",random
1151,8813, trainer,▁trainer,OK,"(8813,)",random
1152,29930, Happen,▁Happen,OK,"(29930,)",random
1153,11945, kits,▁kits,OK,"(11945,)",random
1154,20260,ozo,ozo,OK,"(20260,)",random
1155,10936,raw,raw,OK,"(10936,)",random
1156,16682, Academic,▁Academic,OK,"(16682,)",random
1157,20576, china,▁china,OK,"(20576,)",random
1158,23355, Deluxe,▁Deluxe,OK,"(23355,)",random
1159,8889, URL,▁URL,OK,"(8889,)",random
1160,15590,around,around,OK,"(15590,)",random
1161,9418, comprise,▁comprise,OK,"(9418,)",random
1162,1817, mis,▁mis,OK,"(1817,)",random
1163,24099,accueillir,accueillir,OK,"(24099,)",random
1164,26893,ROC,ROC,OK,"(26893,)",random
1165,12953, epic,▁epic,OK,"(12953,)",random
