position,subprotocol,length,nearest_token_ids,displacement_q05,displacement_median,displacement_q95,separation_margin,mean_separation,linear_auc,balanced_accuracy,fpr_at_95_tpr,compact_radius_q95,pairwise_mean,pairwise_q05,sample_blank_margin,cluster_blank_margin,density_blank_margin,source_escape_q05,center_norm_pre_normalization,shift_certified,separator_certified,compact_certified,sample_blank_certified,cluster_blank_certified,density_blank_certified,blank_region_certified
suffix,blank,1,9039,0.1864023116966925,0.2683920247909553,0.3770770402231045,0.1145401128111608,0.2426232909672013,0.999786376953125,0.99609375,0.00390625,0.590140888844956,0.7328142414896077,0.6742994057105082,-0.0684112342731007,-0.8683081552210759,-0.7279009572821399,-0.1176017155343327,0.856795121114715,True,True,False,False,False,False,False
suffix,blank,2,"31138,27704",0.2612248499838616,0.3628371627722717,0.4627014069416204,0.1606148098318802,0.3141421156438547,0.99993896484375,0.994140625,0.0,0.5429134577076126,0.7887674222766987,0.7335793478269692,0.0025142960821944,-0.7681569928490419,-0.652441479006511,-0.1084828277404937,0.888686600600668,True,True,False,True,False,False,False
suffix,blank,4,"29872,13665,30290,541",0.3588477326858887,0.4808250955218892,0.5938677088451624,0.213535818171622,0.4074316823466288,1.0,1.0,0.0,0.4843193227225753,0.837424923722602,0.791672584045227,0.0669201266541869,-0.6394208725599402,-0.5942324212539742,-0.0889444153943423,0.915203608285,True,True,False,True,False,False,False
suffix,blank,8,"23093,29039,10728,3290,6391,20145,23862,31871",0.4607631563185322,0.5643838040233491,0.6387236373936156,0.3302289553561433,0.4651472870549703,1.0,1.0,0.0,0.3802194444718827,0.9044272158261658,0.8696873759639329,0.2496222751733582,-0.4755375369948041,-0.4227921205040343,-0.0620512240999401,0.951206221677952,True,True,True,True,False,False,False
suffix,blank,16,"30251,11604,5989,16246,16793,8174,18880,10338,7875,27803,19515,9754,20858,16120,31716,25837",0.5167315276426601,0.6123428898799509,0.6702461109074371,0.3659217688274752,0.4768422439260435,1.0,1.0,0.0,0.3207101760017162,0.9361724383041196,0.9081856140118926,0.3086277972288276,-0.4079734519722136,-0.3470328322066621,-0.076619177276656,0.9677280449839044,True,True,True,True,False,False,False
suffix,separator,1,8053,0.1119906746540872,0.1920094932695899,0.3241347826193292,0.0015767802141313,0.1679881702487344,0.989715576171875,0.953125,0.046875,0.6190613123782482,0.7092788176628072,0.6483599756953154,-0.1264980682999192,-0.9873281422149964,-0.7852525966692139,-0.1258964539119939,0.8428732428887504,True,True,False,False,False,False,False
suffix,separator,2,"9060,13793",0.251009122847413,0.3650061071933412,0.4707041412567098,0.1524115364716917,0.3041314245012,1.0,0.998046875,0.0,0.5441220047992081,0.7862079111865603,0.7272575022129989,-0.0279624807971298,-0.7761731053949905,-0.6611291044717297,-0.1256683035904587,0.8872472460618969,True,True,False,False,False,False,False
suffix,separator,4,"31118,16991,2879,31765",0.3729264437459638,0.4788095749143021,0.582424063567582,0.2674071868140467,0.4105732095918149,1.0,1.0,0.0,0.4761986894835678,0.8395117480500695,0.7907314536419047,0.1118443104089453,-0.6104631573398381,-0.5265592507536726,-0.0706379599567576,0.9163823124575416,True,True,False,True,False,False,False
suffix,separator,8,"24272,20897,19742,2007,3656,16112,1023,15231",0.4474747461344771,0.5372910073306316,0.6382492100908101,0.3315884198751679,0.4448413790552955,1.0,1.0,0.0,0.4154857165361523,0.891549099887223,0.8477302036535426,0.193408417094509,-0.52034641794238,-0.462335453206997,-0.081957636156973,0.9444742486318464,True,True,False,True,False,False,False
suffix,separator,16,"30348,28563,16587,19085,14112,5685,707,29901,6682,31894,14621,26098,25435,18208,26077,18444",0.4229508424207744,0.5201823367497986,0.6177126629493412,0.3043344266314194,0.4315113258542394,1.0,1.0,0.0,0.4161552603066702,0.8810113785019752,0.8412088058604399,0.1887928606701978,-0.5412909348834112,-0.473185161790012,-0.0908124407773726,0.9390333116344936,True,True,False,True,False,False,False
