pool_index,token_id,literal,raw_vocab,category,component_ids,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
42,13483, underneath,▁underneath,OK,"(13483,)",0.04779581079880396,0.5357745606747885,False,0.02071247746547063,0.02071247746547063,0.007556617259979248,0.5416666666666666,-0.017837831377983095,-0.01011636108160019,0.020833333333333332,0.8853744161717633,0.9823529411764707,0.3095840844843123,0.2261904761904762,0.0,0.0,0.0,0.0
43,25627, Exterior,▁Exterior,OK,"(25627,)",0.04695444256067276,0.5439788987712255,False,0.024037775894006092,0.024037775894006092,0.005753475427627564,0.4583333333333333,-0.016838684678077698,-0.007931508123874664,0.0,0.8741828681760244,0.9705882352941176,0.19874080353313023,0.34523809523809523,0.0,0.0,0.0,0.0
44,15843, shaft,▁shaft,OK,"(15843,)",0.04976572940746943,0.5461658026490892,False,0.020400740206241608,0.022682396074136097,-0.008401298522949213,0.5416666666666666,-0.01972312331199646,-0.009640256563822428,0.041666666666666664,0.8705360764534891,0.9441176470588234,0.31997532645861304,0.2261904761904762,0.0,0.0,0.0,0.0
45,25231,ffentlichkeit,ffentlichkeit,OK,"(25231,)",0.0473073922097683,0.5512507446701563,False,0.02203390623132388,0.022307392209768295,0.0003419816493988039,0.5,-0.01875571012496948,-0.006743202606836955,0.020833333333333332,0.8487595311944842,0.9588235294117649,0.2655364589558707,0.28571428571428564,0.0,0.0,0.0,0.0
46,18927, rar,▁rar,OK,"(18927,)",0.04679505303502083,0.559212517880258,False,0.021795053035020828,0.021795053035020828,0.009653300046920776,0.5,-0.015731382369995116,-0.008389996985594431,0.0,0.8847482594471743,0.9852941176470588,0.27349823216597235,0.28571428571428564,0.0,0.0,0.0,0.0
47,27265, klicken,▁klicken,OK,"(27265,)",0.046754059940576555,0.5605789543617339,False,0.021754059940576553,0.021754059940576553,0.008747613430023194,0.5,-0.018777239322662353,-0.010270871222019196,0.020833333333333332,0.8818925000364718,0.9941176470588234,0.2748646686474482,0.28571428571428564,0.0,0.0,0.0,0.0
48,27062, pantalon,▁pantalon,OK,"(27062,)",0.05563057015339534,0.5607318381468454,False,0.026463903486728668,0.026463903486728668,0.00969328284263611,0.5833333333333334,-0.020523905754089355,-0.009762036303679148,0.0625,0.8218151860450414,0.9676470588235294,0.11786988377571103,0.16666666666666657,0.026195287704467753,0.24999999999999994,0.0,0.0
49,26851, représentant,▁représentant,OK,"(26851,)",0.04816740403572718,0.5647639040909116,False,0.02162851144870122,0.023167404035727184,-0.005912721157073973,0.5,-0.015742626786231995,-0.007156851390997569,0.0,0.8339049817976889,0.9352941176470588,0.2790496183766259,0.28571428571428564,0.0,0.0,0.0,0.0
50,21100, Coupe,▁Coupe,OK,"(21100,)",0.0465883769094944,0.5660709878281942,False,0.02337501322229703,0.023671710242827732,0.005664336681365967,0.4583333333333333,-0.01675887107849121,-0.00557687630256017,0.020833333333333332,0.8517725244868422,0.95,0.22083289259009892,0.34523809523809523,0.0,0.0,0.0,0.0
51,30250, thumbnail,▁thumbnail,OK,"(30250,)",0.06020113279422124,0.5681855408918288,False,0.02686779946088791,0.02686779946088791,0.014970362186431885,0.6666666666666666,-0.023323196172714233,-0.011651448905467987,0.0625,0.872227054679028,0.9852941176470588,0.10440668463706967,0.04761904761904761,0.16615980863571161,0.24999999999999994,0.0,0.0
52,6813, gap,▁gap,OK,"(6813,)",0.04711127256353696,0.5686028535876955,False,0.01972762867808342,0.02002793923020363,0.0006441593170166031,0.5416666666666666,-0.019689005613327027,-0.009664036333560944,0.020833333333333332,0.9126455021268256,0.988235294117647,0.3424123773972193,0.2261904761904762,0.0,0.0,0.0,0.0
53,1735, moving,▁moving,OK,"(1735,)",0.04771369546651841,0.5748326466197059,False,0.020540669560432434,0.02063036213318507,0.0018065333366394057,0.5416666666666666,-0.020666623115539552,-0.00590098649263382,0.041666666666666664,0.9077353589359288,0.976470588235294,0.3153110146522522,0.2261904761904762,0.03333115577697759,0.0,0.0,0.0
54,7818,roc,roc,OK,"(7818,)",0.04619833032290141,0.5767498222135362,False,0.02305464819073677,0.02328166365623474,0.0006915330886840826,0.4583333333333333,-0.015601062774658203,-0.006630435585975647,0.020833333333333332,0.8508755889420043,0.9676470588235294,0.23151172697544095,0.34523809523809523,0.0,0.0,0.0,0.0
55,13775, Führung,▁Führung,OK,"(13775,)",0.047044294575850173,0.5778288354003239,False,0.024807992080847423,0.026210961242516834,-0.003019911050796507,0.4166666666666667,-0.01981222629547119,-0.009475392599900564,0.020833333333333332,0.8834653019866968,0.9470588235294116,0.1730669306384192,0.4047619047619047,0.0,0.0,0.0,0.0
56,12462, hommes,▁hommes,OK,"(12462,)",0.04597536871830622,0.6023522487708499,False,0.02050086110830307,0.020975368718306225,0.00037871003150940184,0.5,-0.018780168890953065,-0.0030787338813145957,0.020833333333333332,0.8801337499169254,0.9676470588235294,0.31663796305656433,0.28571428571428564,0.0,0.0,0.0,0.0
57,23976, déplacement,▁déplacement,OK,"(23976,)",0.04565785725911459,0.603356130066372,False,0.020490877330303192,0.020657857259114582,-0.0005920112133026118,0.5,-0.020013421773910522,-0.008069470524787903,0.041666666666666664,0.8445413097096052,0.9705882352941176,0.31697075565656024,0.28571428571428564,0.0006710886955261022,0.0,0.0,0.0
58,28310, Illustration,▁Illustration,OK,"(28310,)",0.059465933094422024,0.6048107986885403,False,0.026005751142899197,0.026132599761088688,0.01292209029197693,0.6666666666666666,-0.023481002449989317,-0.009155472119649252,0.0625,0.855319202147273,0.9852941176470588,0.13314162857002676,0.04761904761904761,0.17405012249946586,0.24999999999999994,0.0,0.0
59,31675, temporaire,▁temporaire,OK,"(31675,)",0.04786149561405182,0.607022213084357,False,0.02286149561405182,0.02286149561405182,0.009797227382659913,0.5,-0.021667155623435973,-0.009933573504288992,0.041666666666666664,0.8941309616978419,0.961764705882353,0.23795014619827268,0.28571428571428564,0.08335778117179865,0.0,0.0,0.0
60,4091, rear,▁rear,OK,"(4091,)",0.04509998187422752,0.6073388431280378,False,0.022136977563301723,0.022183315207560856,0.005000647902488709,0.4583333333333333,-0.017924213409423826,-0.006596940259138743,0.020833333333333332,0.8782717981774609,0.9852941176470588,0.26210074788994253,0.34523809523809523,0.0,0.0,0.0,0.0
61,18837, manger,▁manger,OK,"(18837,)",0.05133374333381653,0.6079268720414901,False,0.02137959251801173,0.02216707666714986,0.001319992542266846,0.5833333333333334,-0.02307826578617096,-0.010650068521499634,0.041666666666666664,0.8697619485206854,0.9794117647058824,0.28734691606627566,0.16666666666666657,0.15391328930854792,0.0,0.0,0.0
62,23226, imobil,▁imobil,OK,"(23226,)",0.046319645891586936,0.6079338460214554,False,0.018842221548159916,0.019236312558253605,0.0010761708021163959,0.5416666666666666,-0.020196348428726196,-0.00981566309928894,0.041666666666666664,0.8789878028344243,0.9911764705882352,0.3719259483946694,0.2261904761904762,0.009817421436309794,0.0,0.0,0.0
