rank,pool_sequence,component_token_ids,trigger,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
326,"0,129,105,39,90","30332,17,10924,2951,23060",lucrareatissentches răspunde,0.11476921339829763,0.0,True,0.06476921339829762,0.06476921339829762,0.04014897346496582,1.0,-0.015442076325416564,-0.0005874708294868469,0.0,0.7629075933312766,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
327,"0,31,77,215,180","30332,8221,6177,6520,31797",lucrareaimage tieribscrisă,0.11473673631747563,0.0,True,0.06473673631747563,0.06473673631747563,0.04622282385826111,1.0,-0.01578724980354309,0.0022361104687054953,0.0,0.809811919100119,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
328,"0,129,100,190,169","30332,17,14338,11733,680",lucrareat surroundingsusion sie,0.11468980014324189,0.0,True,0.06468980014324188,0.06468980014324188,0.0457273542881012,1.0,-0.014495116472244263,0.0032679537932078042,0.0,0.8244875445216188,0.9852941176470588,0.0,0.0,0.0,0.0,0.0,0.0
329,"0,133,185,147,82","30332,121,15058,18956,16771","lucrarea""tientrius posture",0.11449410319328308,0.0,True,0.06449410319328308,0.06449410319328308,0.04584240317344666,1.0,-0.0186232328414917,-0.0027311096588770547,0.020833333333333332,0.7807607016876514,0.9823529411764707,0.0,0.0,0.0,0.0,0.0,0.0
330,"0,41,157,215,45","30332,3852,27499,6520,25231",lucrarea repizantribffentlichkeit,0.11448542575041454,0.0,True,0.06448542575041454,0.06448542575041454,0.04376223683357239,1.0,-0.016600805521011352,0.001770240565141042,0.020833333333333332,0.7854210614514316,0.9676470588235294,0.0,0.0,0.0,0.0,0.0,0.0
331,"0,129,46,165,158","30332,17,18927,13114,17319",lucrareat rar->enţă,0.11447979807853699,0.0,True,0.06447979807853699,0.06447979807853699,0.04548709988594055,1.0,-0.015074235200881959,-0.0015109082063039143,0.0,0.7610541323757993,0.988235294117647,0.0,0.0,0.0,0.0,0.0,0.0
332,"0,129,151,215,169","30332,17,1110,6520,680",lucrareat seinrib sie,0.11447648753722509,0.0,True,0.06447648753722508,0.06447648753722508,0.04876401424407959,1.0,-0.01892997920513153,0.0013660614689191182,0.020833333333333332,0.8207720546377318,0.988235294117647,0.0,0.0,0.0,0.0,0.0,0.0
333,"0,37,188,215,82","30332,30396,29904,6520,16771",lucrareaelectriqueweiligerib posture,0.11444131831328075,0.0,True,0.06444131831328075,0.06444131831328075,0.03921138644218445,1.0,-0.01864493191242218,-0.0047149658203125,0.020833333333333332,0.7657498446765447,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
334,"0,129,100,39,159","30332,17,14338,2951,3077",lucrareat surroundingschesige,0.11436625371376674,0.0,True,0.06436625371376674,0.06436625371376674,0.04383963346481323,1.0,-0.019255480170249938,0.0011703868707021077,0.020833333333333332,0.8275014640813207,0.9823529411764707,0.0,0.0,0.0,0.0,0.0,0.0
335,"0,129,157,230,158","30332,17,27499,25638,17319",lucrareatizant Numeroenţă,0.11423876682917278,0.0,True,0.06423876682917277,0.06423876682917277,0.03985404372215271,1.0,-0.019159731268882752,-0.0018862585226694744,0.020833333333333332,0.806209665399044,0.961764705882353,0.0,0.0,0.0,0.0,0.0,0.0
336,"0,37,8,215,153","30332,30396,17682,6520,23158",lucrareaelectriqueSportrib pierdere,0.11410986681779225,0.0,True,0.06410986681779225,0.06410986681779225,0.048295730352401735,1.0,-0.018855690956115723,0.0005724206566810608,0.020833333333333332,0.8016316662399404,0.9852941176470588,0.0,0.0,0.0,0.0,0.0,0.0
337,"0,129,10,215,158","30332,17,15854,6520,17319",lucrareat realmribenţă,0.11405891726414363,0.0,True,0.06405891726414363,0.06405891726414363,0.045199024677276614,1.0,-0.01321250796318054,0.0019511605302492778,0.0,0.8198059577978704,0.9852941176470588,0.0,0.0,0.0,0.0,0.0,0.0
338,"0,41,157,200,31","30332,3852,27499,3404,8221",lucrarea repizantwareimage,0.11399905929962795,0.0,True,0.06399905929962794,0.06399905929962794,0.04573558568954468,1.0,-0.019256281852722167,-0.00034783780574798584,0.020833333333333332,0.8129203179289156,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
339,"0,13,105,39,158","30332,28688,10924,2951,17319",lucrarea pistonissentchesenţă,0.11390342364708583,0.0,True,0.06390342364708583,0.06390342364708583,0.043490254878997804,1.0,-0.01846274137496948,-0.0021461298068364463,0.020833333333333332,0.7784157787172016,0.9735294117647059,0.0,0.0,0.0,0.0,0.0,0.0
340,"0,169,151,147,169","30332,680,1110,18956,680",lucrarea sie seinrius sie,0.11386810292800267,0.0,True,0.06386810292800267,0.06386810292800267,0.045754873752593996,1.0,-0.019847825169563293,-0.0015805711348851521,0.041666666666666664,0.7976399171206856,0.9852941176470588,0.0,0.0,0.0,0.0,0.0,0.0
341,"0,219,185,14,180","30332,25895,15058,6661,31797",lucrareafloodedtientsportscrisă,0.1138640895485878,0.0,True,0.0638640895485878,0.0638640895485878,0.04283696413040161,1.0,-0.017028337717056273,0.00029513736565907794,0.020833333333333332,0.8170127986218377,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
342,"0,31,100,39,180","30332,8221,14338,2951,31797",lucrareaimage surroundingschesscrisă,0.11381463756163915,0.0,True,0.06381463756163915,0.06381463756163915,0.04050465822219849,1.0,-0.018788716197013854,-0.001942962408065796,0.020833333333333332,0.7994325531872357,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
343,"0,247,41,147,215","30332,12327,3852,18956,6520",lucrarearegarded repriusrib,0.1137147178252538,0.0,True,0.0637147178252538,0.0637147178252538,0.04172713756561279,1.0,-0.013064810633659362,-0.00019274155298868814,0.0,0.8033842412438598,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
344,"0,133,134,39,169","30332,121,28448,2951,680","lucrarea"" senzatiches sie",0.1136850247780482,0.0,True,0.0636850247780482,0.0636850247780482,0.04500727653503418,1.0,-0.01535487174987793,0.0014197975397109985,0.0,0.8289357890636078,0.9823529411764707,0.0,0.0,0.0,0.0,0.0,0.0
345,"0,129,35,139,169","30332,17,14797,31,680",lucrareatgraphic' sie,0.1136437435944875,0.0,True,0.0636437435944875,0.0636437435944875,0.05048105716705322,1.0,-0.01383797824382782,0.004129139085610707,0.0,0.8216464510105307,0.988235294117647,0.0,0.0,0.0,0.0,0.0,0.0
346,"0,189,185,14,180","30332,10646,15058,6661,31797",lucrareatialtientsportscrisă,0.11363104780515035,0.0,True,0.06363104780515035,0.06363104780515035,0.048203325271606444,1.0,-0.014788776636123657,0.0039362832903862,0.020833333333333332,0.8039205500360742,0.9941176470588234,0.0,0.0,0.0,0.0,0.0,0.0
347,"0,31,151,39,180","30332,8221,1110,2951,31797",lucrareaimage seinchesscrisă,0.11355913976828258,0.0,True,0.06355913976828258,0.06355913976828258,0.04716116189956665,1.0,-0.017649531364440918,-0.0018614381551742554,0.0,0.8028712435131375,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
348,"0,35,185,230,158","30332,14797,15058,25638,17319",lucrareagraphictient Numeroenţă,0.11351282199223836,0.0,True,0.06351282199223836,0.06351282199223836,0.044463104009628295,1.0,-0.017871835827827455,-0.001191521684328715,0.020833333333333332,0.7997309656499159,0.9735294117647059,0.0,0.0,0.0,0.0,0.0,0.0
349,"0,169,8,190,162","30332,680,17682,11733,5290",lucrarea sieSportusionizat,0.11342394401629766,0.0,True,0.06342394401629765,0.06342394401629765,0.050431829690933225,1.0,-0.019984221458435057,-0.0009652798374493917,0.041666666666666664,0.7877287793502281,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
350,"0,31,10,215,158","30332,8221,15854,6520,17319",lucrareaimage realmribenţă,0.11338753302892049,0.0,True,0.06338753302892049,0.06338753302892049,0.04629016518592834,1.0,-0.0179634153842926,0.0005278810858726501,0.020833333333333332,0.8124465321824256,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
351,"0,169,105,215,54","30332,680,10924,6520,7818",lucrarea sieissentribroc,0.11337769329547882,0.0,True,0.06337769329547882,0.06337769329547882,0.046506500244140624,1.0,-0.014845988154411316,0.0034687196214993796,0.0,0.8119948224743024,0.988235294117647,0.0,0.0,0.0,0.0,0.0,0.0
352,"0,247,35,215,45","30332,12327,14797,6520,25231",lucrarearegardedgraphicribffentlichkeit,0.11335605680942536,0.0,True,0.06335605680942535,0.06335605680942535,0.04635422229766846,1.0,-0.016402032971382142,0.0018937264879544575,0.0,0.7938876852988174,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
353,"0,219,185,39,169","30332,25895,15058,2951,680",lucrareafloodedtientches sie,0.11334987034400304,0.0,True,0.06334987034400304,0.06334987034400304,0.03913136720657349,1.0,-0.01759428679943085,-0.00082407146692276,0.0,0.8031031962938808,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
354,"0,129,41,190,169","30332,17,3852,11733,680",lucrareat repusion sie,0.11328262637058895,0.0,True,0.06328262637058894,0.06328262637058894,0.042799878120422366,1.0,-0.014028793573379517,0.002178716162840525,0.020833333333333332,0.8226805513112356,0.9852941176470588,0.0,0.0,0.0,0.0,0.0,0.0
355,"0,129,187,215,54","30332,17,20719,6520,7818",lucrareat apărutribroc,0.11325935820738475,0.0,True,0.06325935820738475,0.06325935820738475,0.04552493691444397,1.0,-0.015585136413574218,0.0043802087505658465,0.020833333333333332,0.8233068624137153,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
356,"0,13,157,190,158","30332,28688,27499,11733,17319",lucrarea pistonizantusionenţă,0.1131530632575353,0.0,True,0.0631530632575353,0.0631530632575353,0.04160747528076172,1.0,-0.01592109203338623,0.0012702296177546184,0.020833333333333332,0.8068419200503149,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
357,"0,219,79,190,169","30332,25895,5206,11733,680",lucrareafloodedrickusion sie,0.11303621828556061,0.0,True,0.06303621828556061,0.06303621828556061,0.03927341103553772,1.0,-0.015264692902565002,0.0010335370898246765,0.0,0.8160893872687487,0.9705882352941176,0.0,0.0,0.0,0.0,0.0,0.0
358,"0,189,41,200,158","30332,10646,3852,3404,17319",lucrareatial repwareenţă,0.1130022535721461,0.0,True,0.0630022535721461,0.0630022535721461,0.03876394033432007,1.0,-0.013971108198165893,-0.00023667017618815103,0.0,0.8190785291769968,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
