pair_offset,source_row,inserted_count,cosine_similarity
16,678,10,0.9947050213813782
16,678,11,0.9954507946968079
16,678,12,0.9960196614265442
16,678,13,0.9964858293533325
16,678,14,0.9968775510787964
16,678,15,0.9972100257873535
16,678,16,0.9974849224090576
16,678,17,0.9977333545684814
16,678,18,0.9979286193847656
16,678,19,0.9981071949005127
16,678,20,0.9982673525810242
16,678,21,0.9984109401702881
16,678,22,0.9985370635986328
16,678,23,0.9986488819122314
16,678,24,0.998748242855072
16,678,25,0.9988366961479187
16,678,26,0.9989162683486938
16,678,27,0.9989882111549377
16,678,28,0.9990527629852295
16,678,29,0.9991119503974915
16,678,30,0.9991662502288818
17,713,0,0.8500218391418457
17,713,1,0.9681342840194702
17,713,2,0.9778775572776794
17,713,3,0.9843635559082031
17,713,4,0.9882116317749023
17,713,5,0.9908435344696045
17,713,6,0.9926176071166992
17,713,7,0.9939260482788086
17,713,8,0.994878888130188
17,713,9,0.9956415295600891
17,713,10,0.9962413311004639
17,713,11,0.996713399887085
17,713,12,0.9970890283584595
17,713,13,0.9974057674407959
17,713,14,0.9976682662963867
17,713,15,0.9978957176208496
17,713,16,0.9980950355529785
17,713,17,0.9982485771179199
17,713,18,0.9983876347541809
17,713,19,0.9985061287879944
17,713,20,0.9986092448234558
17,713,21,0.9987006187438965
17,713,22,0.998781144618988
17,713,23,0.9988527297973633
17,713,24,0.9989172220230103
17,713,25,0.998977780342102
17,713,26,0.9990344047546387
17,713,27,0.9990862607955933
17,713,28,0.9991340637207031
17,713,29,0.9991775155067444
17,713,30,0.9992175102233887
18,766,0,0.8719772696495056
18,766,1,0.9616791009902954
18,766,2,0.9762328267097473
18,766,3,0.9834906458854675
18,766,4,0.9878283143043518
18,766,5,0.9905728101730347
18,766,6,0.992447555065155
18,766,7,0.9937876462936401
18,766,8,0.9948189854621887
18,766,9,0.9956318140029907
18,766,10,0.9962780475616455
18,766,11,0.9968606233596802
18,766,12,0.9972866773605347
18,766,13,0.9976377487182617
18,766,14,0.9979338645935059
18,766,15,0.9981914758682251
18,766,16,0.9984123706817627
18,766,17,0.9985897541046143
18,766,18,0.9987404346466064
18,766,19,0.9988710880279541
18,766,20,0.9989836812019348
18,766,21,0.9990818500518799
18,766,22,0.9991665482521057
18,766,23,0.9992387294769287
18,766,24,0.9993012547492981
18,766,25,0.9993563890457153
18,766,26,0.9994052052497864
18,766,27,0.9994487166404724
18,766,28,0.9994877576828003
18,766,29,0.9995227456092834
18,766,30,0.9995541572570801
19,779,0,0.8740478754043579
19,779,1,0.9771850109100342
19,779,2,0.9859249591827393
19,779,3,0.990546464920044
19,779,4,0.9932701587677002
19,779,5,0.9949218034744263
19,779,6,0.9960583448410034
19,779,7,0.996841549873352
19,779,8,0.9974098205566406
19,779,9,0.9978231191635132
19,779,10,0.9981575012207031
19,779,11,0.9984159469604492
19,779,12,0.9986181259155273
19,779,13,0.9987788796424866
19,779,14,0.9989185333251953
19,779,15,0.9990365505218506
19,779,16,0.9991387128829956
19,779,17,0.9992231130599976
19,779,18,0.9992952346801758
19,779,19,0.9993618726730347
19,779,20,0.9994219541549683
19,779,21,0.9994727969169617
19,779,22,0.9995163679122925
19,779,23,0.9995553493499756
19,779,24,0.9995893836021423
19,779,25,0.9996200203895569
19,779,26,0.9996473789215088
19,779,27,0.9996712803840637
19,779,28,0.9996927976608276
19,779,29,0.999711811542511
19,779,30,0.9997290372848511
20,835,0,0.8840145468711853
20,835,1,0.9619755744934082
20,835,2,0.9749377965927124
20,835,3,0.9825778603553772
20,835,4,0.9868484735488892
20,835,5,0.9895918369293213
20,835,6,0.9915071725845337
20,835,7,0.9928550124168396
20,835,8,0.9939138293266296
20,835,9,0.9947794079780579
20,835,10,0.9955127239227295
20,835,11,0.9961036443710327
20,835,12,0.9965751767158508
20,835,13,0.9969738125801086
20,835,14,0.9973107576370239
20,835,15,0.9976083040237427
20,835,16,0.9978675246238708
20,835,17,0.9980600476264954
20,835,18,0.9982441067695618
20,835,19,0.9984033107757568
20,835,20,0.9985440969467163
20,835,21,0.9986690282821655
20,835,22,0.9987803101539612
20,835,23,0.998879611492157
20,835,24,0.9989657402038574
20,835,25,0.9990425109863281
20,835,26,0.9991093873977661
20,835,27,0.9991693496704102
20,835,28,0.999223530292511
20,835,29,0.9992725849151611
20,835,30,0.9993173480033875
21,846,0,0.886227548122406
21,846,1,0.9673231840133667
21,846,2,0.9793459177017212
21,846,3,0.9861253499984741
21,846,4,0.9898892641067505
21,846,5,0.9922327995300293
21,846,6,0.9938830733299255
21,846,7,0.9950653314590454
21,846,8,0.9958842396736145
21,846,9,0.9965442419052124
21,846,10,0.9970584511756897
21,846,11,0.997492790222168
21,846,12,0.997896134853363
21,846,13,0.9981598854064941
21,846,14,0.99837327003479
21,846,15,0.9985570311546326
21,846,16,0.9987102150917053
21,846,17,0.9988406896591187
21,846,18,0.9989562630653381
21,846,19,0.9990538358688354
21,846,20,0.9991400241851807
21,846,21,0.9992154836654663
21,846,22,0.9992821216583252
21,846,23,0.9993398189544678
21,846,24,0.9993904829025269
21,846,25,0.999435305595398
21,846,26,0.9994749426841736
21,846,27,0.9995099306106567
21,846,28,0.9995418190956116
21,846,29,0.9995706081390381
21,846,30,0.9995965361595154
22,897,0,0.8997464776039124
22,897,1,0.9808639287948608
22,897,2,0.9864465594291687
22,897,3,0.9906531572341919
22,897,4,0.9930635690689087
22,897,5,0.9944494366645813
22,897,6,0.9953646659851074
22,897,7,0.9960455298423767
22,897,8,0.9966353178024292
22,897,9,0.997124195098877
22,897,10,0.9975190162658691
22,897,11,0.9978671669960022
22,897,12,0.9981493949890137
22,897,13,0.9983757734298706
22,897,14,0.9985952973365784
22,897,15,0.9988523721694946
22,897,16,0.9989808797836304
22,897,17,0.99909508228302
22,897,18,0.9991858005523682
22,897,19,0.9992599487304688
22,897,20,0.9993243217468262
22,897,21,0.9993837475776672
22,897,22,0.9994377493858337
22,897,23,0.999485433101654
22,897,24,0.9995273351669312
22,897,25,0.9995638132095337
22,897,26,0.9995958805084229
22,897,27,0.9996246099472046
22,897,28,0.9996501207351685
22,897,29,0.9996733665466309
22,897,30,0.9996948838233948
23,921,0,0.9090693593025208
23,921,1,0.9825093746185303
23,921,2,0.987246036529541
23,921,3,0.9910351037979126
23,921,4,0.9931475520133972
23,921,5,0.994566798210144
23,921,6,0.9955276846885681
23,921,7,0.9962536692619324
23,921,8,0.9968082308769226
23,921,9,0.9972585439682007
23,921,10,0.9976067543029785
23,921,11,0.9978922009468079
23,921,12,0.9981443285942078
23,921,13,0.9983492493629456
23,921,14,0.998530387878418
23,921,15,0.9987325072288513
23,921,16,0.9988517165184021
23,921,17,0.9989488124847412
23,921,18,0.9990361928939819
23,921,19,0.9991188049316406
23,921,20,0.999180793762207
23,921,21,0.9992391467094421
23,921,22,0.9992935657501221
23,921,23,0.9993420839309692
23,921,24,0.9993852972984314
23,921,25,0.9994239807128906
23,921,26,0.9994585514068604
23,921,27,0.999491810798645
23,921,28,0.9995225667953491
23,921,29,0.9995503425598145
23,921,30,0.9995762705802917
24,974,0,0.9526538848876953
24,974,1,0.9890531301498413
24,974,2,0.9915379881858826
24,974,3,0.9934691786766052
24,974,4,0.9948928356170654
24,974,5,0.9958314895629883
24,974,6,0.9965435862541199
24,974,7,0.997113049030304
24,974,8,0.9975675344467163
24,974,9,0.9979435205459595
24,974,10,0.998237133026123
24,974,11,0.9984673857688904
24,974,12,0.9986552000045776
24,974,13,0.9988160729408264
24,974,14,0.998955488204956
24,974,15,0.9990758299827576
24,974,16,0.9991790652275085
24,974,17,0.9992635846138
24,974,18,0.9993347525596619
24,974,19,0.9993990063667297
24,974,20,0.999454915523529
24,974,21,0.999504566192627
24,974,22,0.9995487332344055
24,974,23,0.9995868802070618
24,974,24,0.9996203184127808
24,974,25,0.9996501207351685
24,974,26,0.999676525592804
24,974,27,0.9996998310089111
24,974,28,0.9997208714485168
24,974,29,0.9997398853302002
24,974,30,0.9997568726539612
