pool_index,token_id,literal,raw_vocab,category,component_ids,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
81,1722, physical,▁physical,OK,"(1722,)",0.0441181637346744,0.6484750265639925,False,0.0191171777745087,0.0191181637346744,0.002623239159584,0.5,-0.0180193752050399,-0.0063395301500956,0.0208333333333333,0.8693946063298177,0.976470588235294,0.3627607408497069,0.2857142857142856,0.0,0.0,0.0,0.0
82,16771, posture,▁posture,OK,"(16771,)",0.0438667555650075,0.6491920243179987,False,0.0208813821276028,0.0209500888983408,0.0029350876808166,0.4583333333333333,-0.0180248528718948,-0.0095853880047798,0.0208333333333333,0.8620831922383737,0.9941176470588234,0.3039539290799035,0.3452380952380952,0.0,0.0,0.0,0.0
83,7383, Front,▁Front,OK,"(7383,)",0.0443464028338591,0.6528872622857018,False,0.0210285919408003,0.0214297361671924,-0.0008863180875778,0.4583333333333333,-0.020172044634819,-0.0094637349247932,0.0416666666666666,0.8443367590044571,0.9588235294117649,0.299046935306655,0.3452380952380952,0.0086022317409515,0.0,0.0,0.0
84,24023, LORD,▁LORD,OK,"(24023,)",0.0492624575893084,0.6548543492006877,False,0.0219723184903462,0.022179124255975,0.0028886377811431,0.5416666666666666,-0.0232214897871017,-0.009535826742649,0.0416666666666666,0.8528614289387377,0.9794117647058824,0.2675893836551242,0.2261904761904762,0.1610744893550872,0.0,0.0,0.0
85,6796, drawn,▁drawn,OK,"(6796,)",0.0436165278156598,0.6566207498785049,False,0.0206585203607877,0.0206998611489931,0.005819821357727,0.4583333333333333,-0.0183090716600418,-0.0092125013470649,0.0208333333333333,0.8722065224195678,0.9911764705882352,0.3113826546404097,0.3452380952380952,0.0,0.0,0.0,0.0
86,16233, Crew,▁Crew,OK,"(16233,)",0.0579280659556388,0.6570859915680354,False,0.0281313980619112,0.0287613992889722,-0.0012827813625335,0.5833333333333334,-0.0235626518726348,-0.0114155386885007,0.0625,0.8053890697211464,0.961764705882353,0.0622867312696244,0.1666666666666665,0.1781325936317443,0.2499999999999999,0.0,0.0
87,330, pas,▁pas,OK,"(330,)",0.0443515186508496,0.6609621506834786,False,0.0255111729105313,0.0256015186508496,0.0063273608684539,0.375,-0.0209409773349761,-0.0092118506630261,0.0416666666666666,0.8282968961630379,0.976470588235294,0.1496275696489546,0.4642857142857142,0.0470488667488097,0.0,0.0,0.0
88,11461, physique,▁physique,OK,"(11461,)",0.0466397526363531,0.662880694109296,False,0.0185854757825533,0.0195564193030198,-0.0056235343217849,0.5416666666666666,-0.0211241215467453,-0.0084837948282559,0.0416666666666666,0.8706612769228287,0.976470588235294,0.3804841405815548,0.2261904761904762,0.056206077337265,0.0,0.0,0.0
89,14303,amba,amba,OK,"(14303,)",0.0447399275998274,0.6640019390791181,False,0.0215824755529562,0.0218232609331607,0.0005262017250061,0.4583333333333333,-0.0207635939121246,-0.0094788521528244,0.0416666666666666,0.8640568363817435,0.9794117647058824,0.2805841482347911,0.3452380952380952,0.0381796956062316,0.0,0.0,0.0
90,23060, răspunde,▁răspunde,OK,"(23060,)",0.0446017039318879,0.6645524688656367,False,0.0186348545054594,0.0196017039318879,-0.0022421181201934,0.5,-0.0149975806474685,-0.0068585773309071,0.0208333333333333,0.8703072112305593,0.961764705882353,0.378838183151351,0.2857142857142856,0.0,0.0,0.0,0.0
91,21738, bărbat,▁bărbat,OK,"(21738,)",0.0431541266540686,0.6647544694798333,False,0.0222002230584621,0.0223207933207352,0.0009573101997375,0.4166666666666667,-0.0172492265701293,-0.0055211211244265,0.0208333333333333,0.8676428032153518,0.976470588235294,0.2599925647179285,0.4047619047619047,0.0,0.0,0.0,0.0
