rank,pool_sequence,component_token_ids,trigger,objective,constraint_violation,feasible,low_gain_mean,low_gain_q10,high_gain_q05,high_gain_mean,displacement_q05,displacement_q05_mean_modes,compactness_loss,compact_radius_q95,triggered_pairwise_similarity,center_norm,local_uniqueness_lower_bound,violation_repulsion,violation_compact_radius,violation_high_tail,violation_low_gain,violation_local_uniqueness
807,"0,240,173,229,248","30332,16145,19845,3147,6148",lucrarea earthquakeAici 300 mici,0.17799249661662825,8.830840941379844,False,0.2561152312221886,0.22396134947101487,0.0022002431583014294,0.06030078264396199,0.31437185659025374,0.3367318186757011,0.1562454692111207,0.4681462801679256,0.8387143543627141,0.9185611197894669,-0.15377442357767185,0.10179469545641782,0.040325067039834614,0.0,0.0,8.688721178883592
808,"234,33,195,214,195","794,25803,12743,13525,12743", test Sauce Smartphoneără Smartphone,0.13651565472677912,8.83898068876328,False,0.22761371543476094,0.17892643057977148,0.0018822633688763747,0.05332172132804253,0.3281192413636651,0.36723506155179925,0.18219612141596364,0.4822166739006357,0.8119265843448117,0.9043250956287989,-0.1540974325369706,0.06251645324667107,0.07159260866807934,0.0,0.0,8.70487162684853
809,"0,240,195,39,103","30332,16145,12743,2951,31149",lucrarea earthquake Smartphoneches dicke,0.17816246961339183,8.846063936703931,False,0.2550656373880497,0.22505054406035072,0.0022937392463153296,0.061399235341261994,0.30913536758457555,0.32252555671269506,0.15380633554931578,0.46313762980820194,0.841232169755545,0.9198878542793596,-0.1540022622236264,0.11675609261549838,0.029194732907115408,0.0,0.0,8.700113111181318
810,"0,205,90,214,33","30332,24903,23060,13525,25803",lucrarea dispus răspundeără Sauce,0.16270131570416227,8.84753367359521,False,0.2438182976764234,0.21267006339106573,0.0019695153750368235,0.056396553803186276,0.31705384206231035,0.3365515596747614,0.16223396394452227,0.4711805214297847,0.832532682379848,0.9152956003693439,-0.15412667936747437,0.09413187982197035,0.04706782539952159,0.0,0.0,8.706333968373718
811,"236,240,160,214,240","24742,16145,20437,13525,16145",estival earthquakeenţaără earthquake,0.15341586620083172,8.852681990388795,False,0.23489049074161564,0.19491843841531475,0.00190304311683141,0.05571972557997618,0.335854428266869,0.35592848851807096,0.16294924908156783,0.4903082709796863,0.8317943235287042,0.914904776967763,-0.1544538427128173,0.040415919237517056,0.08957393551041402,0.0,0.0,8.722692135640864
812,"0,44,195,214,223","30332,15843,12743,13525,23346",lucrarea shaft SmartphoneărăEQ,0.15114052709905182,8.863302907827432,False,0.23563581695244054,0.19673067756579157,0.0020160699014638572,0.055326203607452586,0.31540366110793,0.32141282514916364,0.16899057970677744,0.4698122415448435,0.8255581112704233,0.911597180937514,-0.15440858043691352,0.09884668254877137,0.04402720343298558,0.0,0.0,8.720429021845675
813,"0,124,195,104,240","30332,28387,12743,15091,16145",lucrarea ressenti Smartphonespieler earthquake,0.16802009448581265,8.86743726192846,False,0.24647797014321063,0.21048550913728672,0.002140725206719607,0.0602704622163533,0.32517184769551,0.32706076797859157,0.15691575131479596,0.4797783587621706,0.8380224502556944,0.9181961929158735,-0.15460651106666062,0.07093757801282852,0.06617413058260135,0.0,0.0,8.73032555333303
814,"251,44,195,229,16","694,15843,12743,3147,20538", fun shaft Smartphone 300 trage,0.15080134329706055,8.86935002094825,False,0.2377420819977142,0.19002679078312812,0.001931180662842108,0.055518233660859374,0.3401676307700459,0.3697003817674447,0.17388147740130733,0.4949930886881437,0.8205094426825215,0.9089106240982623,-0.15482545791809776,0.028092483514154467,0.09998464152920815,0.0,0.0,8.741272895904887
815,"251,240,169,214,16","694,16145,680,13525,20538", fun earthquake sieără trage,0.15361352286211064,8.872108064833434,False,0.23731819454515715,0.19763548541790255,0.0018568266342542884,0.04801692143056705,0.3430483158419984,0.35565074414875175,0.16740934336609303,0.49796161089311886,0.8271903552350007,0.9124640577216765,-0.15491329505112045,0.019861954737147344,0.1065813575402641,0.0,0.0,8.745664752556022
816,"136,240,195,17,187","2824,16145,12743,25272,20719",.... earthquake Smartphone grafic apărut,0.14706576964930548,8.877749191364744,False,0.2303365286558743,0.18441975708896477,0.0018816056751764288,0.051914216915853906,0.34443828077166905,0.3575535774039769,0.16654151801313766,0.4994764966643273,0.8280861749541805,0.9129394733424896,-0.15503821589265826,0.0158906263666598,0.10994777036517177,0.0,0.0,8.751910794632913
817,"0,33,1,16,240","30332,25803,22665,20538,16145",lucrarea Saucepictured trage earthquake,0.1612286448975215,8.881141465656981,False,0.24302040477464756,0.19920062089426582,0.0019682169692180895,0.0580049494269852,0.3115998310473627,0.31785164243638975,0.16358351975425212,0.4663037537155343,0.8311395925117397,0.9145580792086131,-0.15470392266817157,0.10971476843610646,0.03623056381229839,0.0,0.0,8.735196133408577
